Date,Open,High,Low,Close,Volume
1972-07-03,929,935.1,922.7,928.7,1836090
1972-07-05,928.7,939.6,926.3,933.5,3318045
1972-07-06,934.9,955.5,934.9,942.1,4403008
1972-07-07,942.1,948.2,932.3,938.1,2909774
1972-07-10,938.1,943,928.7,932.3,2639098
1972-07-11,932.3,934.9,921.8,925.9,2893985
1972-07-12,925.9,934.2,919.3,923.7,3642857
1972-07-13,923.7,926,912.9,917,3324812
1972-07-14,917,927.8,911.9,922.3,3137594
1972-07-17,922.3,928.4,912.7,915,2970677
1972-07-18,915,918,900.1,911.7,3793985
1972-07-19,911.7,927,909.7,916.7,4033083
1972-07-20,916.7,919.4,905.6,910.5,3394737
1972-07-21,910.5,923.2,903.9,920.5,3160150
1972-07-24,922.2,942,922.2,935.4,4064662
1972-07-25,935.4,946.8,930.2,934.5,3875188
1972-07-26,934.5,940.9,927.6,932.6,3187218
1972-07-27,932.6,938.4,923.6,926.9,3128571
1972-07-28,926.9,933.9,920.2,926.7,2943609
1972-07-31,926.7,932.7,917.4,924.7,2508271
1972-08-01,924.7,935.4,922,930.5,3505263
1972-08-02,931.1,944.6,931.1,941.2,4042105
1972-08-03,941.2,953.2,939.1,947.7,4504511
1972-08-04,947.7,957.1,942.3,951.8,3541353
1972-08-07,951.8,959.4,945.7,953.1,2981955
1972-08-08,953.1,958,944.3,952.4,3281955
1972-08-09,952.4,959,943.9,951.2,3548120
1972-08-10,951.2,958.8,945.3,952.9,3442105
1972-08-11,952.9,966.6,948.8,964.2,3737594
1972-08-14,964.2,980.2,964.2,973.5,4256391
1972-08-15,973.5,978.3,962.3,970,3760150
1972-08-16,970,974.9,958.5,964.3,3372180
1972-08-17,964.3,971.3,955.6,961.4,3239098
1972-08-18,961.4,972.2,957.5,965.8,3642857
1972-08-21,965.8,974.2,958.2,967.2,3223308
1972-08-22,967.2,979.8,963.9,973.5,4186466
1972-08-23,973.5,980.4,962.6,970.4,4211278
1972-08-24,970.4,974.6,956,958.4,4123308
1972-08-25,958.4,964.9,949.8,959.4,3121805
1972-08-28,959.4,964.3,952.6,957,2418045
1972-08-29,957,961.6,945.3,954.7,2774436
1972-08-30,954.7,964,951.2,957.9,2812782
1972-08-31,957.9,966.9,953.6,963.7,2783459
1972-09-01,963.7,975.6,962.3,970.1,2616541
